Asset1,Asset2,Similarity
AAPL,BKNG,0.9098111784142159
AAPL,CPRT,0.9558517916046568
AAPL,CTSH,0.9257944994007979
AAPL,GEHC,0.9017699275520781
AAPL,MSFT,0.9038231433763149
AAPL,ODFL,0.9153573623555963
AAPL,ROST,0.9399954335816717
AAPL,SBUX,0.9571100941766032
AAPL,WBD,0.9585602533387598
ABNB,ADBE,0.922406080749383
ABNB,ADSK,0.9388968781106444
ABNB,AMZN,0.9513221936569944
ABNB,ANSS,0.9036016479395435
ABNB,APP,0.9030922724881161
ABNB,AXON,0.9121574678625509
ABNB,CDNS,0.9286117717973461
ABNB,DASH,0.9718757714539091
ABNB,FTNT,0.9218267056951465
ABNB,GOOG,0.9315499125189155
ABNB,GOOGL,0.9259438598840743
ABNB,INTU,0.9076868857988157
ABNB,MELI,0.9359243616170829
ABNB,META,0.9873001073035299
ABNB,MSTR,0.9817641944091665
ABNB,NFLX,0.9503193369528188
ABNB,PDD,0.9583484369147379
ABNB,PLTR,0.9594964017045855
ABNB,PYPL,0.9189722004435632
ABNB,SNPS,0.9666104287546476
ABNB,TSLA,0.992137341841666
ABNB,TTD,0.9408877976120604
ABNB,TTWO,0.9460104296732482
ADBE,ADSK,0.972127745387531
ADBE,ANSS,0.9904004246127057
ADBE,BKNG,0.9308487959246147
ADBE,CDNS,0.9938138482134161
ADBE,CPRT,0.952040154692116
ADBE,FTNT,0.9311227489879906
ADBE,GOOG,0.9995917927202729
ADBE,GOOGL,0.9999394447416982
ADBE,INTU,0.9346780720120799
ADBE,LULU,0.9160754693018518
ADBE,META,0.9583528485732437
ADBE,MSFT,0.9791938942233411
ADBE,MSTR,0.9269619432037789
ADBE,SNPS,0.9702611019646862
ADBE,TSLA,0.9038214457817583
ADBE,TTWO,0.90832217655759
ADBE,WBD,0.972267728148234
ADI,AMAT,0.9899350427654853
ADI,AMD,0.9302497018499475
ADI,ARM,0.9958717824501374
ADI,ASML,0.9863392875018263
ADI,AVGO,0.9997773061765537
ADI,FANG,0.9133755397217869
ADI,GFS,0.9708465977064804
ADI,INTC,0.9956376868476393
ADI,KLAC,0.9885668020840328
ADI,LRCX,0.9854948128467815
